x,y,z,value,timestamp
838,816,343,9554,1483869698
326,750,1473,-348,1594526996
458,722,562,2149,1768935286
1238,1213,648,4886,1200723115
883,424,615,7017,1798471876
767,1663,1853,1002,1709306347
16,98,316,-1820,1734465609
1608,62,1246,5125,1170244513
1218,1879,775,4974,1832482346
1103,1795,323,7752,1425806751
775,162,1173,6617,1146876021
1802,1048,670,-9189,1288787449
84,857,261,-8257,1611278624
1308,626,1765,-2825,1857161183
578,235,21,-5033,1887832449
478,1470,1911,-9437,1113730246
1604,1357,401,-8330,1796799693
225,1631,142,-1997,1148918141
796,1940,495,-1905,1641796226
1102,1131,839,6871,1320532310
1212,835,872,3653,1569707924
828,988,411,-962,1789359797
1048,255,1780,1649,1735206586
490,1847,1171,-7174,1196358196
344,1834,1883,-7318,1643967653
29,520,394,3131,1034828591
1865,648,859,8715,1059319325
548,1554,486,3533,1847206671
1828,1436,620,-1660,1276240108
1483,1538,1826,2476,1808378476
1262,533,619,-5490,1696160585
135,1465,155,-9542,1440508609
907,29,1260,-8533,1386504567
427,1296,1769,-8770,1246225547
350,839,1586,-7063,1929235647
693,192,1294,8199,1495091717
210,67,526,-9353,1726372394
1701,625,567,4025,1280927892
1556,1553,1845,3130,1245727964
1088,1181,1145,8987,1162706180
288,1059,632,-8739,1070464426
1945,630,1491,-1588,1792458594
1289,1261,1758,5901,1613525679
93,1426,1324,1096,1680812591
1011,1957,1314,-2813,1350112577
1037,126,680,-1179,1117691325
883,498,214,6755,1646609814
1466,327,1854,4533,1992202158
731,78,1564,-9946,1443855856
1348,1381,1158,-4802,1110172378
685,388,1250,-9188,1732891155
1865,30,1953,677,1987143683
48,1448,853,5845,1765636200
1449,584,1571,6503,1994437820
1897,1284,1928,-5948,1831555927
1939,1666,912,7605,1761433232
1163,112,412,-2323,1035041270
1800,493,1805,9410,1252325301
988,732,1592,6742,1112903232
1589,440,1439,-9961,1741109390
204,1719,278,-7061,1493263822
47,1250,1199,-677,1304221194
1205,661,1796,5160,1075148717
1103,133,423,-1654,1122476548
125,377,1761,9526,1029130853
892,240,1840,2724,1609121420
201,1696,1453,7805,1820476771
1888,1807,1952,910,1228508881
851,157,116,3576,1536164396
57,959,811,9293,1405478084
985,13,379,626,1759345160
1083,1273,251,-5764,1509863178
1650,215,962,5774,1260535471
1952,1603,323,3038,1578696263
1339,669,1460,6198,1573770395
1567,1776,145,-8022,1843784471
705,1506,263,6466,1637069399
594,128,838,8075,1861330420
868,1633,478,-7587,1537339259
1967,728,760,-5848,1711378205
649,850,938,2412,1755982242
992,1105,898,9997,1708912162
1930,5,658,-145,1990398146
1818,251,1864,-7345,1454623289
1363,1533,779,9535,1962261115
191,176,1866,1724,1222670512
590,42,1972,376,1155240703
1571,622,284,3909,1905320852
1232,1573,1274,3485,1710502346
1933,1199,1614,4124,1612213289
1937,1840,913,3472,1554385960
874,1260,1610,8691,1875971041
20,104,957,8272,1187609254
1030,1650,1899,-6097,1429779550
1682,1991,24,-1432,1122808750
1563,499,1015,9340,1929262102
1452,1315,868,-1125,1719851009
85,594,1871,8533,1939800238
1681,985,87,-3093,1592296574
481,624,194,-9908,1255962448
143,1793,206,-7620,1396873953
729,992,1540,5764,1058259958
142,1103,455,-9598,1999583042
1407,1348,967,6638,1328262786
1254,1880,41,6514,1194193740
1536,513,709,2354,1014688903
1400,1717,1444,-509,1988184135
473,1885,311,-9196,1128102131
1927,403,90,-5051,1847374724
1687,1626,262,-3554,1612112146
1574,1308,511,1387,1291333235
105,505,765,4776,1087880346
477,1752,406,8351,1279633918
1975,1858,515,5932,1172148520
1282,956,1130,-7594,1140438496
1631,227,1220,2779,1977051539
1330,1457,1689,271,1687709267
1702,1626,1439,5737,1249290782
1685,757,1872,-7208,1345812148
1345,1923,589,8583,1408088134
98,1376,789,4202,1066498095
916,1442,890,3437,1285937616
993,184,301,-1073,1224707709
592,1496,1510,3267,1689132510
1677,1673,1150,-2772,1281832298
1079,669,606,9424,1489359446
698,219,1405,765,1898251807
1002,1220,1071,-8640,1026685185
642,1724,1043,-2398,1158881513
864,1313,1196,5440,1683095092
487,829,107,4225,1998409438
474,1987,1517,-8069,1075628538
899,1713,1836,9894,1558118713
1293,317,1677,-7035,1804395443
83,1259,689,-4183,1536250213
1134,1978,498,-2353,1192923935
1092,680,1278,2299,1884919755
1148,470,1829,-1424,1341719696
238,154,874,-7471,1747601487
113,1690,786,1333,1098319969
642,1339,192,-2899,1553178755
306,1910,1566,-4400,1177000737
850,314,1259,-3550,1406879786
1563,694,1046,7956,1246358040
1672,562,1473,2667,1908490225
97,678,307,-8912,1775584178
1870,619,1119,7855,1152038539
1818,648,297,2453,1878909664
1388,955,1395,9705,1081943161
1509,394,1642,6570,1537992180
766,186,726,6480,1430777123
1181,583,1795,-8762,1658160408
611,1706,1054,5256,1949079417
158,1082,1087,-5491,1639141399
1251,165,1300,5298,1573093702
12,1840,1571,6280,1955464131
803,858,202,1878,1272914208
732,1441,1062,-9736,1705814438
1946,1290,875,-6548,1986373277
1065,903,107,-9108,1086398788
440,846,642,-7757,1158171401
378,17,129,3801,1217128685
739,912,806,9760,1112868223
490,829,634,4607,1195895585
1746,1401,1658,878,1636796131
1121,1682,729,2514,1583781693
553,362,1661,-6689,1771578188
351,265,1048,9714,1568687078
649,426,1568,528,1876184292
514,1675,209,-1448,1262883655
75,193,1307,8875,1268921173
365,810,1809,5113,1981021840
476,818,394,-5121,1350079687
1839,1647,1643,-6505,1380471148
487,186,89,-1385,1694752343
458,47,1110,-9077,1312588031
656,453,183,-8904,1829071145
74,349,663,9979,1048511887
604,918,761,-373,1751969374
1623,984,893,9569,1094260673
953,223,1952,-2795,1370329040
1156,658,138,6631,1300385893
845,1689,1188,-6620,1508198850
307,1041,616,5500,1883893102
175,294,925,-6343,1654552152
1961,1231,310,6028,1183680223
1615,622,175,9821,1886483083
1105,1440,996,7638,1905323555
411,1664,490,-2336,1226702705
113,867,745,1322,1704650556
1271,1888,1645,4759,1827904269
813,142,495,1659,1368109939
268,1446,284,-9851,1749379104
1860,315,1866,-5772,1988050055
1720,908,1270,4228,1106626878
1349,1003,935,-9097,1036420549
178,1665,352,7495,1049256792
1128,705,1595,1216,1741904288
139,927,372,9355,1290833423
1118,1121,1457,9544,1590897686
506,453,1442,-6226,1098588710
1153,1045,1171,4177,1591315579
503,742,619,-8896,1395504240
283,1387,663,2996,1843975930
520,42,1518,2658,1025838505
1294,699,811,68,1968531290
426,1866,280,9895,1011598798
101,1046,1125,1037,1010989156
1645,1178,141,947,1536338250
1400,365,1021,684,1003365888
1567,1581,882,-1891,1972232295
1364,845,348,-5004,1647778370
1099,1846,361,-4703,1352903415
24,707,500,6679,1419958160
654,1766,390,-6940,1138821674
400,647,1145,-1293,1557223819
1417,543,315,-8002,1613843626
542,191,1072,-1069,1317297654
565,883,1457,-4872,1831216658
90,548,1755,-3861,1330416011
690,1503,1023,9174,1502849446
382,917,393,-7138,1857312518
496,1848,1370,-4676,1886784076
1455,180,220,6701,1036040378
1044,1773,1585,-4768,1713078456
1210,454,1765,7783,1038747641
937,563,439,7327,1983077575
703,1568,1321,5020,1895692864
352,1245,92,-2375,1990475523
278,172,1349,4084,1358890166
1797,1994,250,399,1945184792
749,874,1311,4922,1254405593
1516,388,898,2317,1078335216
99,930,282,4396,1502323794
1349,1496,1140,5883,1781898652
855,1290,675,9864,1524861729
481,310,595,3751,1028868674
753,1358,975,-8835,1375270245
35,1815,278,-7037,1102118709
1225,280,677,-9656,1772939836
1594,757,1046,-2834,1425602858
1459,1067,1772,-4474,1353506860
1577,133,939,-8421,1684976311
303,572,1881,1575,1704275721
1483,1982,758,-5167,1402994741
1810,929,1870,-1623,1467380213
1162,1392,1868,-2259,1306519557
622,388,365,-5686,1173359688
1128,393,912,-4409,1889058395
152,1903,402,-9739,1198832283
1377,1012,430,-3889,1134794830
1602,62,616,-74,1587664153
590,19,1315,-9187,1012942982
559,727,443,-172,1310128056
561,805,1665,-3939,1880903359
346,1023,1970,9804,1905733034
273,1024,146,6171,1164847988
991,360,565,-2060,1211953462
537,957,917,-4516,1733405192
43,543,1768,7444,1851200953
1443,539,587,-2148,1884525669
1001,785,1863,-5225,1685049542
1131,1675,308,1025,1728672349
752,1169,1237,70,1856674169
1141,590,1144,-4667,1802210407
1616,1967,1016,1447,1619932804
792,746,754,9508,1591946925
1008,888,1583,8938,1268727603
1954,217,1976,-2207,1026473842
6,1037,1639,4374,1100147734
108,864,300,-2799,1360538602
1572,1245,1326,-6410,1423339590
1154,436,1566,-6459,1542132503
376,1375,1743,-1353,1799358650
1746,1643,1851,-938,1897430491
1561,1794,791,-583,1623391621
659,1728,1763,3083,1947453320
1434,785,1375,942,1431608809
1429,849,23,-3970,1713246293
57,1011,873,-5361,1300329013
1636,1502,640,-7395,1969776895
486,1495,122,9061,1438256926
229,1745,1542,-5387,1494291580
1500,462,599,7096,1897853373
682,1688,984,9631,1824511341
1344,633,1279,-220,1080258584
1573,1140,591,-227,1178064424
892,656,1384,-914,1624163421
1304,654,456,4417,1043141373
753,965,1797,1515,1291766881
1267,605,168,831,1550018384
945,629,555,9541,1131214025
698,1364,24,-4328,1150996962
321,1496,1221,789,1072202353
1516,1115,1513,2218,1711031096
1997,1151,1223,4371,1403702154
1054,174,153,2452,1754397128
646,720,11,7104,1652248693
231,635,1219,-7984,1908166368
1073,903,864,9830,1605867013
240,1660,760,5242,1299252487
1135,1546,1929,-9021,1064304629
618,1495,1033,3953,1828575132
1974,1181,89,7206,1712799539
27,1771,1461,-4917,1404675398
1677,1019,1491,6851,1154700356
329,522,1173,-9490,1787578295
1629,1233,1592,-2219,1333074405
268,1592,1725,6376,1288882603
1850,1233,920,6515,1317437255
936,657,349,-4618,1541378881
1617,130,759,1058,1083114530
647,831,380,-226,1659488072
1261,479,1514,6038,1149977863
1212,1231,646,-5556,1037062929
558,423,69,-6887,1434704727
117,590,285,3574,1920759492
471,1533,1765,6198,1397498509
1278,1228,1309,5719,1741857887
1512,374,1995,8730,1543852180
626,799,1285,7017,1975233659
742,1041,1654,1197,1491169751
841,1971,61,2156,1018618586
1348,1972,1749,552,1504834234
744,1220,1560,8859,1506281986
738,1456,403,-4656,1877130615
1165,1382,169,7461,1567392334
1578,1280,1935,-6493,1667494464
520,83,704,-812,1537673573
1723,514,847,1729,1987182103
353,1188,1896,-7343,1754257442
1713,1094,1198,-3605,1387465999
1069,105,748,7897,1965318529
404,103,909,2629,1873629457
1115,280,1389,-9952,1970724512
651,514,1766,-5552,1427822715
48,289,1538,-875,1295926302
257,1446,247,-6949,1519291070
1469,467,1537,6487,1302334355
1258,788,315,4766,1281445348
510,1460,1639,3472,1600905204
1935,1693,1479,108,1581604893
744,69,906,-9275,1071538108
490,1933,1434,-91,1149307136
1634,357,466,627,1779231593
649,1527,48,-939,1329070562
1426,1518,51,2172,1536703819
1477,1451,226,-8279,1885162485
1696,1352,883,-5768,1034660748
1043,1809,1320,-8923,1164020190
6,232,1330,-6635,1957375091
104,525,180,-5278,1388446619
1044,1930,1903,6579,1975341013
841,1409,90,-434,1641654565
1341,804,0,-5531,1689982745
330,641,90,-4524,1736294515
63,254,215,7756,1539004790
665,688,334,2934,1091314921
1003,286,1057,-5547,1525719579
82,261,1466,2345,1128102770
264,765,1155,-5835,1824030109
901,1188,1006,3296,1997637991
9,514,93,-4026,1484301157
224,1091,1772,-3078,1836208989
28,1623,238,-9637,1053307312
1055,1370,1946,-1104,1626192411
1706,716,300,1212,1988744905
534,79,1767,-9718,1800928642
1509,432,746,-6325,1827767541
1359,1495,1134,6702,1690762999
1597,1799,1261,-3054,1297722193
1530,647,1009,2593,1896740550
581,1155,612,4503,1542935609
1354,1210,1881,4875,1666662536
317,791,1432,9007,1679433459
144,170,829,-7399,1440820905
1421,1365,528,2754,1410127928
804,1373,1285,-2897,1197807307
891,881,457,-7362,1550736744
1111,277,1221,4421,1540559186
1682,1313,1763,5060,1410324249
1112,1429,1692,-5103,1314352552
758,1064,1307,-74,1543648578
1727,652,176,2908,1461976709
1818,373,1917,3962,1239371132
703,900,1604,605,1318238716
1417,1044,1553,-390,1354412156
354,613,62,1340,1285229854
1608,230,845,7547,1211569331
1582,408,246,-1309,1190879456
234,1371,1470,93,1501874544
364,1343,486,6960,1034695623
1773,389,322,4760,1053141717
1898,667,680,-208,1299238828
17,346,992,-307,1975877142
1904,191,1855,-4321,1268450976
458,319,12,877,1567611909
1213,1292,326,-9040,1771866392
1529,975,1248,-9499,1692994828
534,1328,306,2611,1882852638
1745,1385,893,-6836,1728556874
1516,501,776,5305,1446584472
396,628,1280,7091,1388759171
271,1813,1101,661,1734478905
1957,299,1246,306,1932499335
1051,14,425,-6873,1998283631
306,52,225,-2561,1796632013
1866,344,1520,5815,1790482626
1238,814,1049,1085,1395737675
1578,1166,1662,3251,1345980892
1293,321,158,-7123,1511373681
1891,1003,1789,8061,1900485935
34,23,342,6401,1120782111
1772,112,655,8462,1227679626
1238,43,1646,-1941,1058562186
773,638,1641,-5975,1404339402
1022,1365,1648,-9291,1177177042
1530,169,617,8529,1199699079
1647,1920,1282,-8206,1855221319
957,1051,1833,-3836,1296192371
2,205,40,5132,1493016747
1371,272,718,-9566,1140435861
249,1656,92,9169,1586819702
1908,693,1195,-2883,1060623897
1297,880,1409,-9960,1926973511
1046,557,403,6642,1681741195
302,1698,1270,-7030,1261701547
765,1835,391,9374,1838537248
1691,557,1757,-7049,1734786114
1329,1854,240,6809,1898509393
1924,1571,990,-5321,1502241364
556,356,1947,9853,1208050203
472,1632,169,5240,1369697312
885,1668,143,-3792,1463710070
405,1751,236,-6266,1389918168
1212,1876,779,9920,1859103296
715,1284,738,-39,1972855576
1217,1399,154,5022,1590662770
123,1943,1119,8164,1367655489
1866,700,1011,2875,1253328220
536,253,1534,4190,1197486471
764,456,227,3995,1285529503
58,1326,353,-3121,1484065946
475,1175,445,-8239,1772908650
547,753,1461,5155,1963432638
571,198,1377,-5873,1660396450
1922,1645,1138,4042,1022132072
1500,1353,1444,-1841,1509650352
983,1810,1158,-9080,1918166366
686,530,319,451,1840426114
448,1932,170,5602,1682917852
48,1952,264,6166,1497192963
1853,993,353,-6780,1888515832
1289,1750,1489,5000,1716060848
1053,1151,1341,6123,1779753584
315,1105,1594,4874,1545914972
1949,316,1571,2717,1365349826
18,97,1758,-3298,1084554795
1520,350,1910,-3156,1400559988
1782,580,1050,-2444,1466981805
862,320,652,-2553,1663242279
770,1004,230,8020,1225928836
1968,301,1594,-2943,1631759809
672,404,11,-5162,1075888927
699,689,1166,1420,1199785836
319,436,1849,9416,1931021336
1284,1722,479,-6540,1363335552
1223,1448,1980,-7397,1037666966
731,1427,191,7839,1782498764
686,86,1341,5862,1840689804
1161,987,1611,-5904,1176022348
1040,1931,207,-8376,1787095810
1142,1185,228,8284,1745449218
1033,909,16,6941,1644371912
1144,682,99,-8636,1984526754
100,451,1080,7928,1896861963
1290,1253,205,-6678,1799143611
453,263,1828,-8970,1248631132
817,44,1152,2954,1031235983
391,464,1010,-960,1604897210
1960,820,1764,-7655,1181033406
823,1191,1686,-9942,1483723710
270,1620,1484,6460,1064763348
1894,963,1236,-1837,1745856743
587,1715,598,4079,1650253848
773,1243,4,8968,1121360256
98,320,442,-7402,1620186112
1562,493,906,9042,1785316848
1700,1305,1533,6537,1991145716
1671,127,554,-1216,1920383153
825,4,11,6183,1617523016
1825,166,1803,9809,1979289506
517,1200,349,-2933,1354704774
1268,1417,1470,-4782,1064541532
362,994,1784,-3105,1716677040
1621,111,1617,117,1916316236
1182,1543,1160,6057,1568664799
1752,69,672,584,1825544547
95,218,608,-892,1235393359
7,201,213,-7804,1672479373
1797,879,996,-9090,1846963363
706,1811,215,-5501,1736577005
150,117,971,272,1263411743
1935,658,404,1611,1816612491
1390,1966,601,-4505,1799293888
504,874,758,-3106,1996602538
1571,980,712,2207,1571710185
542,1243,196,-5890,1682351929
1125,367,786,160,1197062898
625,1162,167,-1189,1838772408
1056,684,1753,3062,1122904166
1038,1260,603,3280,1346126667
1340,1616,1091,1085,1273068536
1500,901,456,8070,1609836726
495,1328,31,-7256,1457318165
243,1988,365,5388,1651928103
291,610,369,2389,1139082859
1870,1055,1742,-7393,1070895151
1691,656,1709,-9357,1482327888
246,860,1088,8578,1884552197
259,1965,423,-5251,1831321195
1557,241,1832,5943,1120035321
172,571,775,5218,1339933550
428,1984,66,-7010,1337794400
1594,996,116,818,1381346360
917,1509,74,-6628,1295594482
501,1686,1349,-9266,1156885256
1569,906,1707,2822,1485766665
1339,1270,1346,8700,1134205636
1374,1047,260,-1013,1824679853
1901,562,16,-809,1982236728
289,1475,1090,-2624,1137990224
518,346,53,-8649,1649991630
677,544,167,-8727,1997697252
1040,1641,1858,-367,1135672933
1606,1225,958,9842,1742343594
832,970,802,-295,1149650074
841,510,1479,-2508,1763889040
428,1987,251,-3369,1169453142
730,851,1689,-4057,1091257432
1803,354,1294,5249,1294876291
169,1831,1795,177,1014569621
1453,680,755,-6689,1466061956
1885,1369,1583,-5784,1801621243
1239,959,956,-5032,1658066050
140,828,253,3787,1631753142
451,1904,1765,-861,1617866923
1696,855,178,5098,1942289250
632,810,516,7942,1484721249
1281,1462,1720,6500,1200359874
115,967,1729,9207,1919357621
677,1490,1449,-5104,1063935131
1021,693,967,-9388,1285446716
1607,1287,1591,2593,1295307189
1090,1386,413,5136,1086309667
1840,651,430,-8017,1206863521
996,855,389,-6324,1522848863
1992,569,1656,6566,1112355586
1469,1969,836,5022,1271150280
462,211,1623,-5223,1130059939
1507,1108,369,5062,1163234186
715,1155,1740,3707,1488099246
456,1992,607,6313,1340658622
1777,390,1321,-6573,1514399230
1634,1150,602,-7325,1885850902
870,1337,512,5115,1954696254
1496,693,1510,2328,1024974582
1717,1972,1242,-6455,1354822481
959,1493,1411,2044,1296914918
214,764,930,4055,1128921074
1356,534,1547,-5025,1600527078
1917,375,472,-990,1147664792
1432,1120,346,-8042,1666274581
896,1078,1029,3850,1134333670
315,509,1380,673,1913989708
471,1751,567,-4115,1160914332
244,456,1846,-4892,1763359065
1140,858,1889,7537,1529781249
1420,1199,1350,6309,1234632555
336,671,1163,8388,1681726244
1205,794,105,8900,1844420504
1450,497,1779,9587,1302264707
1012,730,1119,2230,1665446809
1037,1971,1241,-1981,1324524218
532,488,311,6889,1046908100
1575,1808,1758,-6738,1639782259
524,1380,28,-747,1392283704
150,899,929,9394,1024757711
1432,222,1002,-7564,1372684344
1554,579,1675,6465,1628379235
536,1159,1748,474,1058061914
763,511,1400,2621,1135560554
1891,489,883,-9548,1474328936
1671,853,1137,-4681,1931204592
886,466,911,-709,1754360172
38,781,1028,657,1612046396
894,512,847,1958,1858039623
282,1663,137,765,1929979724
991,1801,299,-546,1577433664
1252,678,780,2890,1349265455
1967,575,864,-779,1230675239
1223,1858,1044,8499,1628456011
960,1405,1227,-2882,1004376888
1505,903,1894,-9849,1936596048
1,575,813,3418,1447993821
121,1472,1760,1853,1731868217
335,273,1433,3452,1788644318
208,1702,1902,-5523,1868657525
614,993,228,-3595,1944862498
1804,44,676,-4727,1004069528
808,548,1453,-9149,1774756136
1153,130,1269,-7402,1779122149
1558,1690,922,-9546,1427730094
885,1152,468,414,1318671416
1044,1247,218,-9242,1928919036
330,1611,1458,-7140,1911926003
250,543,1500,-9067,1943575919
1207,176,643,256,1851475221
1093,211,821,6040,1968544446
397,1071,442,-2399,1645630738
1410,1198,1846,4932,1002047334
1718,598,1256,6955,1209223453
654,834,1741,-2228,1197934284
973,963,96,-2985,1435597231
142,1634,1654,9160,1236797683
306,1032,1035,6153,1366734997
1805,280,649,5344,1458646069
1776,1642,1114,5445,1373335488
1907,1350,370,3296,1285576257
511,896,1894,9525,1729802883
1017,1886,1453,9403,1527958493
1503,690,281,1021,1326422517
267,205,1928,5086,1097011295
1565,1685,1236,-6100,1446104139
1076,546,1456,9834,1929316136
1429,681,1164,8244,1990305460
350,1750,1529,2386,1233934908
1884,1915,1594,167,1743975546
1197,601,1337,259,1876118973
1257,1945,1900,-8612,1349809135
1426,432,1775,5231,1392028700
1608,1594,1316,-1134,1604374130
1245,112,564,9829,1678678956
688,1442,244,-7835,1762858240
522,230,1832,-9661,1084411224
13,1131,1260,7505,1993243142
950,1667,1319,-4506,1403646262
1169,1398,35,1504,1956491250
1264,1608,629,4733,1104305270
410,1010,394,9395,1136080623
1781,770,1689,2530,1457029666
1983,1205,765,6680,1076433435
1330,1085,410,5476,1770099590
8,390,1186,-1224,1531671926
1512,453,1445,-6435,1832035233
379,1539,1616,789,1887656924
572,1274,1014,-8503,1532141320
718,195,603,8525,1673885972
1632,1012,858,6226,1332624571
122,117,1942,-4978,1572361209
830,994,512,-6873,1445823956
1624,61,1894,4855,1256791459
1558,184,1195,7137,1386349191
92,1710,552,5603,1570806444
1148,287,1742,1089,1389244855
789,1406,861,-6565,1198707741
1801,1107,1287,-4550,1814211231
1998,609,100,7052,1159767810
1136,1627,1371,4809,1785884538
1937,1545,271,4476,1685712724
1559,593,1808,-8762,1405804979
636,1021,1659,-8483,1571924172
1077,912,68,-1647,1312372543
1172,167,1321,3339,1713702060
47,987,1437,-3747,1018665734
1659,308,981,1886,1689416697
1091,1017,1202,-1592,1954450455
391,1800,292,-9655,1384366326
95,62,1971,-8726,1836294724
1576,1216,1620,-1258,1719427622
445,797,688,9579,1459802032
1524,3,1667,6023,1362190773
571,1607,1678,1306,1283049616
1463,1398,382,-4308,1227028633
434,1761,895,-9721,1447300910
1570,1432,1213,-1794,1206707549
1590,609,908,-5613,1627976376
1385,874,1186,-2832,1169050957
1904,212,1771,815,1139446360
1175,1438,1184,1822,1615850311
1780,811,161,4797,1672444137
72,1928,1041,7161,1384851678
1668,548,1112,-6306,1601044540
1046,283,885,-1262,1648241174
1638,1353,1499,-9529,1991634835
1389,1207,513,-7240,1754914823
375,759,1820,67,1519422980
284,610,870,-3314,1229837369
68,1554,403,-88,1364516917
1102,1419,1492,-651,1893084402
8,1202,1347,-983,1205614013
85,1037,1168,-276,1265094334
1310,1532,892,3467,1451175227
1453,606,1009,-8724,1357273722
634,1404,968,-6812,1852181799
1949,1187,1169,3079,1126513821
460,1536,1415,-8484,1468857308
1221,738,984,-8330,1506070434
253,456,38,6477,1031403565
1800,316,1349,6661,1513975660
1087,655,326,6161,1745144804
273,1482,546,178,1033539010
1720,852,1155,1060,1205775743
1792,759,1849,-7598,1534908319
164,952,255,-6040,1594898827
1043,261,292,-7459,1266133347
1974,1985,245,4541,1155976551
474,768,1480,-7698,1219251000
257,1819,1695,7840,1893803461
77,43,93,-6564,1644287633
684,1245,1800,-201,1993954616
8,1068,1307,5524,1271331945
1271,726,62,-2861,1218454422
520,845,908,-9047,1394859123
939,1818,919,-3397,1422034966
1372,546,230,-728,1064615270
1939,358,375,2709,1648606280
713,869,1650,-4245,1799214874
9,1279,556,6703,1897888282
582,1443,1312,2856,1085872477
1574,1493,1141,-8161,1159506474
1077,1045,304,-2874,1604549590
1027,1104,1564,-428,1207553722
973,961,1755,-5890,1111507422
150,1047,418,-7705,1595797319
1990,1420,703,-7203,1754785945
986,641,1338,-2107,1035795588
1987,1977,1272,5690,1177766122
1922,1403,36,-1521,1537175906
1448,1690,829,7645,1105321288
1122,304,109,-788,1977117728
145,256,1982,9529,1790320540
1693,284,676,-8674,1445644841
1739,1823,1201,8212,1692461742
1740,486,364,-7905,1991419933
1800,1659,523,-976,1392264440
1353,1287,859,8296,1688124336
1567,864,1811,-2939,1088570942
633,838,1948,8178,1914092660
999,1570,12,-956,1797101625
1786,1981,160,-6807,1390201227
247,858,1445,3725,1626827375
692,642,407,9985,1145867756
1574,175,1096,-6768,1909386731
1415,221,1391,-5571,1309001621
1703,804,513,7132,1707892442
1138,96,921,7650,1933690020
1100,1228,1278,-8363,1536293900
109,1626,951,6139,1252089072
44,1183,1150,-2213,1664300497
340,1900,363,-4096,1565296643
297,247,1300,-9792,1148271293
240,1764,717,-5079,1210370296
551,1404,1690,7236,1327184131
1794,250,937,-6429,1607980996
483,256,1804,-4662,1355555684
916,185,899,4846,1644208930
190,1054,726,-8602,1429277321
627,223,1216,4906,1747197286
1019,461,267,-9210,1233031523
809,25,1811,5714,1968430176
1847,239,1700,-473,1620865541
1450,1970,1070,4872,1040516400
1705,416,926,7346,1771661501
541,1591,569,2240,1508835872
1303,1475,1883,3325,1713465871
954,1961,1957,4216,1727048745
439,242,1532,-746,1129208131
1439,427,1381,-6710,1765124979
1248,1930,352,9820,1847292874
429,381,363,-2546,1628274790
613,1533,1008,7489,1038662377
1687,1614,84,-8382,1378414985
61,1874,1568,4021,1469843960
235,739,1702,2305,1706895063
828,430,787,7451,1748263630
668,881,1059,7242,1713341721
126,1624,129,-8841,1621467932
